theta1,theta2
-9.951222887682980023e-01,4.343532344606736983e-01
-1.024222543562558041e+00,4.077844941291262071e-01
-9.214074930529320140e-01,4.985020229486149534e-01
-9.424726018721858445e-01,5.271474800332779376e-01
-9.368322324761126918e-01,5.321245591280653331e-01
-9.488163130927009803e-01,5.143690764254993386e-01
-1.067880932828474627e+00,4.595054299192497527e-01
-1.060708039774334699e+00,4.404147282507969718e-01
-1.107877074039123277e+00,4.495571609995939188e-01
-1.131076660215168062e+00,4.718482398934182309e-01
-1.097264251353437192e+00,4.701587551144102428e-01
-1.048032335907049806e+00,5.580043009348792937e-01
-1.043222030912027920e+00,5.551881061102127424e-01
-1.055749043896745842e+00,5.079103093639244504e-01
-1.075162971831650882e+00,4.937229503110289186e-01
-1.033928082451915031e+00,5.511793829407464207e-01
-1.055637505237692730e+00,5.084821251015742005e-01
-1.082435433719482365e+00,4.884157644773739482e-01
-1.073959445832652015e+00,4.786938581155916750e-01
-1.073959445832652015e+00,4.786938581155916750e-01
-1.196990376943788625e+00,4.595073808513451818e-01
-1.196414891465769514e+00,4.375264274651356478e-01
-1.158305812305823190e+00,3.699711172544455362e-01
-1.174287789831261364e+00,3.666957011584709436e-01
-1.188220526350840967e+00,3.482971191841768843e-01
-1.232907147598312880e+00,3.235174153548037168e-01
-1.267934488389937941e+00,2.799139766314299171e-01
-1.223885336377888100e+00,3.240002736678208040e-01
-1.151283156617928904e+00,3.124647289607322964e-01
-1.129383885500151230e+00,2.662185779417998166e-01
-1.179704510653095006e+00,3.096337937131717899e-01
-1.188633127492594088e+00,3.548421894439030000e-01
-1.192617692541538599e+00,3.303901811968777968e-01
-1.176512258571797753e+00,3.756948123857058452e-01
-1.262877017505122268e+00,4.376687845730284909e-01
-1.317819007582317514e+00,4.650635961631944260e-01
-1.326360908863141619e+00,4.725694945311855744e-01
-1.312283758427548630e+00,3.978424165981170879e-01
-1.408506488270696355e+00,3.993963925099801582e-01
-1.323782549081812032e+00,3.968641342405401229e-01
-1.404284679050608498e+00,3.939538315838860827e-01
-1.425825075328220670e+00,4.912125527877752029e-01
-1.445008372343923764e+00,4.323896449311674939e-01
-1.449779344939540415e+00,4.999123460125922680e-01
-1.478102527398646560e+00,4.198327202863438856e-01
-1.478102527398646560e+00,4.198327202863438856e-01
-1.481024015070786515e+00,3.969350702761760274e-01
-1.542601408089232962e+00,4.649579550155428787e-01
-1.505224659496959161e+00,4.827927598791456609e-01
-1.505224659496959161e+00,4.827927598791456609e-01
-1.425096799962876970e+00,5.001967540640702703e-01
-1.427265104940293794e+00,4.868683034955029743e-01
-1.405766393428963479e+00,5.174517789004324797e-01
-1.490291340870874670e+00,5.136506686726024506e-01
-1.429627981270449766e+00,5.440070338650863091e-01
-1.378941586306426936e+00,5.875382369077203348e-01
-1.368859939439419637e+00,5.140365575671740350e-01
-1.500159664807188209e+00,4.330088435396741708e-01
-1.540613545957858266e+00,3.889633943298442809e-01
-1.506399847235282863e+00,3.469529456049354477e-01
-1.566799288375841481e+00,2.933662092865850224e-01
-1.566799288375841481e+00,2.933662092865850224e-01
-1.517333716780830288e+00,2.045527275706425230e-01
-1.496364626302967071e+00,1.948892334017258421e-01
-1.496364626302967071e+00,1.948892334017258421e-01
-1.488016650080332237e+00,1.660666932856648403e-01
-1.536268060458578333e+00,1.626615120568082051e-01
-1.502108644135609516e+00,1.781823088177028058e-01
-1.576838394224262085e+00,1.948035443687255452e-01
-1.515269617987792916e+00,1.301926046488435518e-01
-1.540499248271597565e+00,1.558703852847824756e-01
-1.565467380358796623e+00,1.061051661323158118e-01
-1.527509681661437302e+00,1.060519718585667126e-01
-1.598782635890986015e+00,4.917062084316135145e-02
-1.606285356252043162e+00,7.934610265098142323e-02
-1.681966965869792663e+00,5.483782014078105588e-02
-1.696070701356958255e+00,1.162080210081771342e-01
-1.690717671879236494e+00,1.048698578473020171e-03
-1.615160418282020727e+00,1.330058840693517687e-03
-1.578291042816473366e+00,4.000243885982222164e-02
-1.556906169934793915e+00,6.990179218941494632e-02
-1.482409852254779947e+00,9.414899911315650904e-02
-1.580333120524946899e+00,1.087793611884366740e-01
-1.635267377645427844e+00,1.005620633936141206e-01
-1.670734879560511033e+00,7.442288974376816413e-02
-1.716870859824236151e+00,7.784387378317349226e-02
-1.707329094933873304e+00,9.506876310834194710e-02
-1.664499052607440799e+00,5.206473542766897750e-02
-1.670609100263239055e+00,-8.979640563031611455e-03
-1.727463247779283284e+00,-9.540400082112004965e-02
-1.730050909743918952e+00,-1.806786730133647656e-01
-1.673923769968586273e+00,-1.843746577117796048e-01
-1.766015748697300269e+00,-2.111449706490281519e-01
-1.714069104771463348e+00,-2.769870249038876575e-01
-1.714069104771463348e+00,-2.769870249038876575e-01
-1.780207371371435476e+00,-2.936214338860902440e-01
-1.738469249636931169e+00,-2.314586812087362500e-01
-1.731504383430646277e+00,-2.684223195752399316e-01
-1.780209061154910177e+00,-2.113409109038926204e-01
-1.764809257273367793e+00,-2.099030163512773661e-01
-1.822530454785363130e+00,-1.667746912889083444e-01
-1.811762035910638557e+00,-1.185427956181617642e-01
-1.858606687333721252e+00,-1.244597464318822483e-01
-1.835893937654360597e+00,-1.517675441056583197e-01
-1.824833320964892369e+00,-1.892712879351349242e-01
-1.819418289163088120e+00,-9.309217479504471038e-02
-1.828927779083054705e+00,-4.540661202456609813e-02
-1.798750046788081480e+00,-1.839976474421375560e-02
-1.822845595107129624e+00,-1.831717888759195473e-02
-1.809679995197744251e+00,2.807062974072616762e-03
-1.800946517411165626e+00,-7.399080194803069055e-02
-1.654682498653740952e+00,-8.982835569729552549e-02
-1.616330958929512507e+00,-1.397863528698943258e-01
-1.698445468711601736e+00,-1.149011549589876030e-01
-1.683953470858747359e+00,-1.745010052858022576e-01
-1.701005124134695512e+00,-1.072364346676929481e-01
-1.737876111135466140e+00,-1.292298827881339096e-01
-1.815155900618862228e+00,-1.437256009368401699e-01
-1.734347026960120886e+00,-1.148917853598751121e-01
-1.773421287519389988e+00,-8.589631562997669667e-02
-1.733358210217599282e+00,-2.463415524080451308e-02
-1.748299228349609047e+00,-4.657406676126222417e-02
-1.781990332237591623e+00,-7.910756023082173016e-03
-1.785807915147129998e+00,-5.197475008983248879e-02
-1.813973972876430363e+00,-1.130583242790208498e-01
-1.840712368385170272e+00,-3.633206253575743672e-02
-1.838496434231547738e+00,-1.270701518921499296e-01
-1.834109095484763641e+00,-1.121259630381669925e-01
